                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7334,                 4.2185,                 1.3644,                0.00262,                 0.6875,                0.18435,                0.10135,                  1.274,                 3.8211,                 1.1139,                0.00018,                0.00018,                0.00018
                      2,                 1.4761,                 2.7329,                 1.1423,                0.00333,                  0.875,                0.35256,                0.11578,                 1.4242,                 3.6644,                 1.1135,             0.00037875,             0.00037875,             0.00037875
                      3,                 1.4852,                 2.3274,                 1.1589,                0.00245,                0.33848,                0.15898,                0.08452,                 1.3419,                 3.6741,                 1.1071,             0.00057617,             0.00057617,             0.00057617
                      4,                 1.5511,                  2.066,                 1.1436,                0.00333,                  0.875,                0.07919,                0.05912,                 1.3916,                 3.7076,                 1.1252,             0.00077228,             0.00077228,             0.00077228
                      5,                 1.4307,                 1.9301,                 1.1457,                0.00333,                  0.875,                0.19177,                0.12978,                 1.4412,                 3.8887,                  1.366,             0.00096706,             0.00096706,             0.00096706
                      6,                 1.4316,                 1.8109,                 1.1574,                 0.0031,                 0.8125,                0.13242,                0.10646,                 1.5484,                 3.8414,                  1.306,              0.0011605,              0.0011605,              0.0011605
                      7,                  1.322,                 1.6816,                 1.1133,                      1,                0.31065,                0.48694,                 0.2721,                 1.4303,                 3.2971,                 1.2166,              0.0013527,              0.0013527,              0.0013527
                      8,                 1.3508,                 1.6385,                 1.1039,                0.51284,                 0.4375,                0.38263,                0.19133,                 1.7073,                 2.9017,                 1.4357,              0.0015435,              0.0015435,              0.0015435
                      9,                 1.4012,                 1.6485,                 1.1607,                0.49774,                 0.4375,                0.43142,                0.24261,                 1.7797,                    2.6,                 1.7039,               0.001733,               0.001733,               0.001733
                     10,                 1.3842,                 1.5991,                 1.1951,                0.05054,                 0.3125,                0.09798,                0.05067,                 1.6433,                 7.1397,                 1.5474,              0.0019212,              0.0019212,              0.0019212
                     11,                 1.3416,                 1.4778,                 1.1297,                0.45337,                  0.625,                0.35112,                0.18865,                  1.529,                  3.507,                 1.4332,               0.001934,               0.001934,               0.001934
                     12,                 1.3563,                 1.5002,                 1.1596,                0.07957,                  0.625,                0.09386,                0.04364,                 1.5675,                 6.7177,                 1.4877,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.3369,                 1.3076,                 1.1447,                0.33333,                 0.0625,                 0.1228,                0.06348,                 1.6134,                 11.766,                 1.5035,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.3321,                 1.3571,                 1.1491,                   0.05,                 0.0625,                0.02405,                 0.0061,                 2.0233,                 39.546,                 2.3558,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.3024,                 1.3857,                 1.1188,                0.12082,                 0.1875,                  0.112,                0.03764,                 1.8727,                  7.757,                 1.9263,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.3325,                 1.2378,                   1.14,                0.89996,                  0.625,                0.71916,                0.34228,                 1.9207,                 1.7316,                 1.7699,               0.001901,               0.001901,               0.001901
