                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8589,                 4.7641,                 1.5433,                0.00083,                0.16667,                0.00049,                0.00034,                 1.8925,                 5.6386,                 1.7321,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.9344,                 4.5808,                 1.4172,                0.00167,                0.33333,                0.00146,                0.00056,                 1.7267,                 5.3411,                 1.4396,              9.967e-05,              9.967e-05,              9.967e-05
                      3,                 1.6365,                 4.2339,                  1.242,                 0.0025,                    0.5,                0.00289,                0.00153,                 1.6746,                 4.7909,                  1.103,             0.00015894,             0.00015894,             0.00015894
                      4,                 1.5556,                 3.4273,                 1.1311,                 0.0025,                    0.5,                0.00292,                0.00178,                 1.4839,                 4.3559,                 1.0039,             0.00021782,             0.00021782,             0.00021782
                      5,                 1.5565,                 2.7575,                  1.078,                0.00333,                0.66667,                0.00455,                0.00299,                  1.352,                 4.0021,                0.96582,              0.0002763,              0.0002763,              0.0002763
                      6,                  1.511,                 2.1991,                 1.1507,                0.00333,                0.66667,                0.00455,                0.00285,                 1.4369,                 4.0423,                  1.019,             0.00033439,             0.00033439,             0.00033439
